service,method,path,baseline_sha
DSH,GET,/dsh/home-discovery,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,POST,/dsh/home-discovery/events,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,POST,/dsh/internal/wlt/payment-session-events,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,POST,/dsh/internal/workforce/availability-projections,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,GET,/dsh/media,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,GET,/dsh/notifications,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,GET,/dsh/notifications/preferences,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,PUT,/dsh/notifications/preferences,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,PUT,/dsh/notifications/push-endpoints,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,DELETE,/dsh/notifications/push-endpoints/{deviceId},f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,POST,/dsh/notifications/read-all,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,POST,/dsh/notifications/{notificationId}/read,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,GET,/dsh/operator/admin/approvals,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,POST,/dsh/operator/admin/approvals/{approvalId}/review,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,POST,/dsh/operator/admin/approvals/{approvalId}/rollback-requests,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,GET,/dsh/operator/admin/audit,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,GET,/dsh/operator/admin/captains,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,GET,/dsh/operator/admin/diagnostics,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,GET,/dsh/operator/admin/partners,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,GET,/dsh/operator/admin/role-requests,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,POST,/dsh/operator/admin/role-requests/{requestId}/review,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
